Datetime,Pressure,Atmosphere,Altitude,Tbm,Tds
2016-03-27 10:18:35,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:18:36,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:18:37,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:18:38,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:18:39,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:18:40,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:18:41,101125,0.9980,16.66,25.5,27.3
2016-03-27 10:18:42,101128,0.9981,16.41,25.6,27.3
2016-03-27 10:18:43,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:18:44,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:18:45,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:18:47,101125,0.9980,16.66,25.5,27.3
2016-03-27 10:18:48,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:18:49,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:18:50,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:18:51,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:18:52,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:18:53,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:18:54,101122,0.9980,16.91,25.5,27.3
2016-03-27 10:18:55,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:18:56,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:18:57,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:18:58,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:18:59,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:00,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:19:01,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:19:02,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:19:03,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:19:04,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:05,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:19:06,101145,0.9982,15.00,25.6,27.3
2016-03-27 10:19:07,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:19:08,101122,0.9980,16.91,25.5,27.3
2016-03-27 10:19:09,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:19:11,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:12,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:19:13,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:14,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:19:15,101122,0.9980,16.91,25.5,27.3
2016-03-27 10:19:16,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:19:17,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:19:18,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:19:19,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:19:20,101122,0.9980,16.91,25.5,27.3
2016-03-27 10:19:21,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:19:22,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:23,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:19:24,101131,0.9981,16.16,25.6,27.3
2016-03-27 10:19:25,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:19:26,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:19:27,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:19:28,101151,0.9983,14.50,25.5,27.3
2016-03-27 10:19:29,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:30,101134,0.9981,15.91,25.6,27.3
2016-03-27 10:19:31,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:19:32,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:19:33,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:19:34,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:19:36,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:37,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:38,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:19:39,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:19:40,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:41,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:19:42,101145,0.9982,15.00,25.6,27.3
2016-03-27 10:19:43,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:19:44,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:19:45,101122,0.9980,16.91,25.5,27.3
2016-03-27 10:19:46,101145,0.9982,15.00,25.6,27.3
2016-03-27 10:19:47,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:19:48,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:49,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:50,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:19:51,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:52,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:19:53,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:19:54,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:19:55,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:19:56,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:19:57,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:19:58,101134,0.9981,15.91,25.6,27.3
2016-03-27 10:19:59,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:01,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:20:02,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:20:03,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:04,101125,0.9980,16.66,25.5,27.3
2016-03-27 10:20:05,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:06,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:20:07,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:20:08,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:20:09,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:20:10,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:20:11,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:20:12,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:20:13,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:14,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:15,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:16,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:20:17,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:20:18,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:20:19,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:20:20,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:21,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:20:22,101145,0.9982,15.00,25.6,27.3
2016-03-27 10:20:23,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:20:24,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:20:26,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:20:27,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:20:28,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:20:29,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:20:30,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:20:31,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:20:32,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:20:33,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:34,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:20:35,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:36,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:20:37,101128,0.9981,16.41,25.6,27.3
2016-03-27 10:20:38,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:20:39,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:40,101125,0.9980,16.66,25.5,27.3
2016-03-27 10:20:41,101145,0.9982,15.00,25.6,27.3
2016-03-27 10:20:42,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:43,101128,0.9981,16.41,25.6,27.3
2016-03-27 10:20:44,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:20:45,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:20:46,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:20:47,101145,0.9982,15.00,25.6,27.3
2016-03-27 10:20:48,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:20:49,101148,0.9983,14.74,25.6,27.3
2016-03-27 10:20:51,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:20:52,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:20:53,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:20:54,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:20:55,101145,0.9982,15.00,25.6,27.3
2016-03-27 10:20:56,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:20:57,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:20:58,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:20:59,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:21:00,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:21:01,101134,0.9981,15.91,25.6,27.3
2016-03-27 10:21:02,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:21:03,101137,0.9981,15.66,25.6,27.3
